CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.36] [-3.22] [-9.27] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.36] [-3.22] [-9.27] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.36] [-3.22] [-9.27] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.35] [-2.81] [-9.42] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.35] [-2.81] [-9.42] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.35] [-2.81] [-9.42] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.34] [-2.38] [-9.53] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.34] [-2.38] [-9.53] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.34] [-2.38] [-9.53] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.32] [-1.54] [-9.70] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.32] [-1.54] [-9.70] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.32] [-1.54] [-9.70] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.31] [-1.14] [-9.76] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.31] [-1.14] [-9.76] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
